,Epsilon,Guarda,Tiempo,Iteraciones,Diferencia
1757,1e-07,eigen_value,1513649368.0,15769.0,9.947591195214045e-11
1758,1e-08,eigen_value,1683716309.0,17109.0,9.218915408837347e-11
1759,1e-09,eigen_value,1749209742.0,18384.0,9.136527978625964e-11
1760,1.0,vector_delta,296565691.0,4505.0,15128.009609015548
1761,0.1,vector_delta,293791011.0,4373.0,2851.7749344137806
1762,0.01,vector_delta,102037872.0,1357.0,69.45243784257677
1763,0.001,vector_delta,192922942.0,2831.0,0.5698778528926518
1764,0.0001,vector_delta,295891083.0,4367.0,0.005389601948255347
1765,1e-05,vector_delta,397081876.0,5923.0,5.228840525987266e-05
1766,1e-06,vector_delta,491579536.0,7492.0,5.088442276246497e-07
1767,1e-07,vector_delta,587059972.0,9012.0,5.102055382621984e-09
1768,1e-08,vector_delta,769269042.0,10552.0,2.296879131336027e-10
1769,1e-09,vector_delta,960218289.0,12052.0,2.0679308931903507e-10
1770,1.0,eigen_value,539294016.0,5003.0,0.001444595985262538
1771,0.1,eigen_value,640236716.0,6776.0,1.0486105246769739e-05
1772,0.01,eigen_value,828595114.0,8042.0,1.5615934231050233e-07
1773,0.001,eigen_value,1033026099.0,9781.0,1.4651507740381931e-09
1774,0.0001,eigen_value,1130244867.0,11351.0,2.1453288923112268e-10
1775,1e-05,eigen_value,1373796297.0,12880.0,2.0843842207796114e-10
1776,1e-06,eigen_value,1351884558.0,14141.0,2.115112351930293e-10
1777,1e-07,eigen_value,1462637420.0,15507.0,2.070707694201701e-10
1778,1e-08,eigen_value,1605603932.0,16850.0,2.090185091674357e-10
1779,1e-09,eigen_value,1957607460.0,19253.0,2.0834278302572784e-10
1780,1.0,vector_delta,362794610.0,5552.0,20205.35546708327
1781,0.1,vector_delta,300860730.0,4447.0,3094.132432377361
1782,0.01,vector_delta,158294330.0,2213.0,282.75207520837904
1783,0.001,vector_delta,214232900.0,3069.0,1.2715211179968022
1784,0.0001,vector_delta,383826244.0,5614.0,0.009019066728223031
1785,1e-05,vector_delta,504176810.0,7496.0,8.568969103670555e-05
1786,1e-06,vector_delta,623824945.0,9345.0,8.594285595542317e-07
1787,1e-07,vector_delta,713092548.0,10715.0,3.3680307005568014e-08
1788,1e-08,vector_delta,840907496.0,12344.0,4.962718129775112e-09
1789,1e-09,vector_delta,937666763.0,13951.0,4.1072209455705885e-09
1790,1.0,eigen_value,570083397.0,5736.0,0.14202079980838078
1791,0.1,eigen_value,752165505.0,7569.0,6.152506077299336e-05
1792,0.01,eigen_value,970817238.0,9807.0,6.283656387928715e-07
1793,0.001,eigen_value,1143537996.0,11737.0,5.772134578840849e-07
1794,0.0001,eigen_value,1380101659.0,13313.0,6.831462222578466e-09
1795,1e-05,eigen_value,1437460484.0,15014.0,6.233054730131471e-09
1796,1e-06,eigen_value,1561428576.0,16398.0,1.5745009953604948e-08
1797,1e-07,eigen_value,1686192029.0,18063.0,2.311963680057261e-08
1798,1e-08,eigen_value,1822172841.0,19534.0,6.983553287298605e-07
1799,1e-09,eigen_value,1895136802.0,20393.0,1.6858293371058154e-07
1800,1.0,vector_delta,276635767.0,4249.0,16977.53723425653
1801,0.1,vector_delta,292031556.0,4474.0,2694.320400748477
1802,0.01,vector_delta,150244636.0,2214.0,203.20076460211135
1803,0.001,vector_delta,177707969.0,2644.0,0.58423918520565
1804,0.0001,vector_delta,268979055.0,4090.0,0.005944790237484501
1805,1e-05,vector_delta,363141933.0,5608.0,5.7468437076959585e-05
