,K,alpha,k,accuracy,precision,recall
350,10.0,20.0,11.0,0.949,0.9489160349715899,0.9486950698847171
351,10.0,20.0,12.0,0.947,0.947033096764376,0.9466523392958687
352,10.0,20.0,13.0,0.945,0.9449741596161788,0.944510300349706
353,10.0,20.0,14.0,0.944,0.9443235032353297,0.9434301170736464
354,10.0,20.0,15.0,0.945,0.945071158540979,0.944391655535185
355,10.0,20.0,16.0,0.944,0.9441602231300461,0.9434301170736464
356,10.0,20.0,17.0,0.941,0.9410166455297079,0.9403265396659453
357,10.0,20.0,18.0,0.944,0.9440034910610459,0.9433149529256527
358,10.0,20.0,19.0,0.941,0.9408678042436043,0.9401729139794901
359,10.0,20.0,20.0,0.943,0.9431655465159825,0.9422708639013656
360,10.0,20.0,21.0,0.941,0.9408443660007787,0.9402522043431022
361,10.0,20.0,22.0,0.943,0.942938855204347,0.9423734004708122
362,10.0,20.0,23.0,0.939,0.9390043743304615,0.9382111595044476
363,10.0,20.0,24.0,0.938,0.9381442935158884,0.9371694377668496
364,10.0,20.0,25.0,0.937,0.9372453356326025,0.9360583266557384
365,10.0,20.0,30.0,0.934,0.9345861874051897,0.9329715230361051
366,10.0,20.0,35.0,0.935,0.9361077391263061,0.93392763403182
367,10.0,20.0,40.0,0.931,0.9320730439299529,0.9299233649814334
368,10.0,20.0,45.0,0.93,0.9310722101268627,0.9291113991694674
369,10.0,20.0,50.0,0.928,0.9293405931543116,0.9267673400212846
370,10.0,20.0,60.0,0.923,0.9247405933385417,0.9218737980355071
371,10.0,20.0,70.0,0.919,0.9207203788726342,0.9178370994263749
372,10.0,20.0,80.0,0.919,0.9210154200600045,0.9175424436450074
373,10.0,20.0,90.0,0.917,0.9187654803323767,0.9153987029551489
374,10.0,20.0,1.0,0.945,0.9442422574434746,0.9447003271943585
375,10.0,20.0,2.0,0.942,0.9428174819865868,0.9413839785945048
376,10.0,20.0,3.0,0.952,0.9513659974300668,0.9517121139546532
377,10.0,20.0,4.0,0.95,0.9492596743503487,0.9495168790635422
378,10.0,20.0,5.0,0.947,0.9463776589851932,0.9463589843267
379,10.0,20.0,6.0,0.951,0.9509289641296448,0.9505862684370552
380,10.0,20.0,7.0,0.949,0.948599765284321,0.9483653463856937
381,10.0,20.0,8.0,0.947,0.9466729829424002,0.9464885389825703
382,10.0,20.0,9.0,0.945,0.9446762902236256,0.9444807310010784
383,10.0,20.0,10.0,0.946,0.9457031143271237,0.9453896378836694
384,10.0,20.0,11.0,0.946,0.945961091627227,0.9453896378836694
385,10.0,20.0,12.0,0.947,0.947217972219881,0.9464422694626167
386,10.0,20.0,13.0,0.943,0.9434401223799581,0.9423367320266397
387,10.0,20.0,14.0,0.946,0.9462134884304556,0.9453742961987672
388,10.0,20.0,15.0,0.941,0.9414885424133935,0.9402161271838428
389,10.0,20.0,16.0,0.941,0.9412308056130607,0.9401392041069199
390,10.0,20.0,17.0,0.935,0.9352649019416457,0.9342019571433571
391,10.0,20.0,18.0,0.939,0.9396631215312414,0.9382841004476925
392,10.0,20.0,19.0,0.935,0.9358416952844196,0.9342080747371035
393,10.0,20.0,20.0,0.944,0.9447581998325033,0.9433971715870794
394,10.0,20.0,21.0,0.933,0.9339983264736131,0.9323312673339803
395,10.0,20.0,22.0,0.941,0.9420572413897121,0.940450974810443
396,10.0,20.0,23.0,0.938,0.9392870662010976,0.9372375864624916
397,10.0,20.0,24.0,0.939,0.9403483773124559,0.9382468105536473
398,10.0,20.0,25.0,0.936,0.9374945920878448,0.9352928057955188
399,10.0,20.0,30.0,0.933,0.9343713576097281,0.9324917498249023
400,10.0,20.0,35.0,0.929,0.9305259925584265,0.9282616036823852
401,10.0,20.0,40.0,0.926,0.927180309032915,0.9251627025834839
402,10.0,20.0,45.0,0.93,0.9316172761873901,0.9293080572288387
403,10.0,20.0,50.0,0.929,0.9307452480655092,0.9281397667564244
404,10.0,20.0,60.0,0.924,0.9258541753185694,0.9229998368123707
405,10.0,20.0,70.0,0.915,0.9177889320791012,0.9137118388634938
406,10.0,20.0,80.0,0.911,0.9136553812172135,0.9095733250291035
407,10.0,20.0,90.0,0.912,0.9147264341473198,0.910366573018228
408,10.0,20.0,1.0,0.956,0.9561776701769398,0.955296193747848
409,10.0,20.0,2.0,0.953,0.9537463865958475,0.9521320223929575
410,10.0,20.0,3.0,0.96,0.9606160008857065,0.9593345194739189
411,10.0,20.0,4.0,0.961,0.9611321144188695,0.9603811856551483
412,10.0,20.0,5.0,0.961,0.9612830372609755,0.9604464727120436
413,10.0,20.0,6.0,0.96,0.9599345242697852,0.9593892252630436
