,K,alpha,k,accuracy,precision,recall
537,10.0,8.0,89.0,0.77,"[1.         0.81818182 0.9        0.5        0.71428571 0.75
 0.83333333 0.8        0.75       0.625     ]","[1.         1.         0.75       0.66666667 1.         0.33333333
 1.         0.72727273 0.66666667 0.5       ]"
538,10.0,8.0,144.0,0.77,"[1.         0.69230769 0.88888889 0.54545455 0.71428571 0.8
 0.83333333 0.9        0.75       0.57142857]","[1.         1.         0.66666667 0.66666667 1.         0.44444444
 1.         0.81818182 0.66666667 0.4       ]"
539,10.0,8.0,1.0,0.8,"[1.         1.         0.92857143 0.5        0.63636364 0.875
 1.         1.         0.625      0.54545455]","[1.         0.77777778 1.         0.66666667 0.7        0.875
 0.9        0.81818182 0.5        0.66666667]"
540,10.0,8.0,2.0,0.77,"[0.91666667 0.8        0.8125     0.63636364 0.58333333 0.85714286
 1.         0.90909091 0.625      0.5       ]","[1.         0.88888889 1.         0.77777778 0.7        0.75
 0.7        0.90909091 0.5        0.33333333]"
541,10.0,8.0,3.0,0.81,"[1.         0.8        0.86666667 0.63636364 0.75       0.875
 1.         1.         0.75       0.5       ]","[1.         0.88888889 1.         0.77777778 0.6        0.875
 0.8        0.81818182 0.6        0.66666667]"
542,10.0,8.0,5.0,0.81,"[1.         0.8        0.86666667 0.77777778 0.66666667 0.77777778
 1.         1.         0.875      0.42857143]","[1.         0.88888889 1.         0.77777778 0.4        0.875
 0.8        0.90909091 0.7        0.66666667]"
543,10.0,8.0,8.0,0.82,"[1.         0.8        0.86666667 0.77777778 0.66666667 0.875
 1.         0.91666667 0.77777778 0.5       ]","[1.         0.88888889 1.         0.77777778 0.4        0.875
 0.8        1.         0.7        0.66666667]"
544,10.0,8.0,13.0,0.81,"[1.         0.8        0.92307692 0.875      0.8        1.
 0.88888889 0.91666667 0.7        0.4375    ]","[1.         0.88888889 0.92307692 0.77777778 0.4        0.75
 0.8        1.         0.7        0.77777778]"
545,10.0,8.0,21.0,0.76,"[0.9        0.8        0.85714286 0.77777778 0.71428571 0.71428571
 0.83333333 1.         0.58333333 0.5       ]","[0.81818182 0.88888889 0.92307692 0.77777778 0.5        0.625
 0.5        1.         0.7        0.77777778]"
546,10.0,8.0,34.0,0.77,"[0.81818182 0.66666667 0.85714286 0.875      0.75       0.66666667
 1.         1.         0.7        0.53846154]","[0.81818182 0.88888889 0.92307692 0.77777778 0.6        0.75
 0.5        0.90909091 0.7        0.77777778]"
547,10.0,8.0,55.0,0.71,"[0.69230769 0.61538462 0.85714286 0.875      0.66666667 0.5
 1.         0.88888889 0.7        0.46153846]","[0.81818182 0.88888889 0.92307692 0.77777778 0.6        0.375
 0.5        0.72727273 0.7        0.66666667]"
548,10.0,8.0,89.0,0.69,"[0.75       0.57142857 0.85714286 0.7        0.66666667 0.4
 1.         0.875      0.7        0.46153846]","[0.81818182 0.88888889 0.92307692 0.77777778 0.6        0.25
 0.5        0.63636364 0.7        0.66666667]"
549,10.0,8.0,144.0,0.68,"[0.75       0.53333333 0.84615385 0.63636364 0.6        0.5
 0.83333333 0.9        0.625      0.54545455]","[0.81818182 0.88888889 0.84615385 0.77777778 0.6        0.25
 0.5        0.81818182 0.5        0.66666667]"
550,10.0,13.0,1.0,0.86,"[1.         1.         1.         0.8        0.9        0.85714286
 0.72727273 0.81818182 0.75       0.75      ]","[1.         1.         0.76923077 0.88888889 0.9        0.66666667
 0.88888889 0.9        0.9        0.66666667]"
551,10.0,13.0,2.0,0.82,"[0.91666667 0.90909091 0.84615385 0.69230769 0.9        0.71428571
 0.77777778 0.75       0.85714286 0.83333333]","[1.         1.         0.84615385 1.         0.9        0.55555556
 0.77777778 0.9        0.6        0.55555556]"
552,10.0,13.0,3.0,0.84,"[1.         0.90909091 0.90909091 0.77777778 0.9        0.85714286
 0.88888889 0.81818182 0.58333333 0.77777778]","[1.         1.         0.76923077 0.77777778 0.9        0.66666667
 0.88888889 0.9        0.7        0.77777778]"
553,10.0,13.0,5.0,0.81,"[1.         0.90909091 1.         0.61538462 0.9        0.85714286
 1.         0.8        0.54545455 0.63636364]","[1.         1.         0.61538462 0.88888889 0.9        0.66666667
 0.88888889 0.8        0.6        0.77777778]"
554,10.0,13.0,8.0,0.84,"[1.         0.83333333 1.         0.81818182 0.81818182 1.
 0.88888889 0.81818182 0.63636364 0.66666667]","[1.         1.         0.61538462 1.         0.9        0.77777778
 0.88888889 0.9        0.7        0.66666667]"
555,10.0,13.0,13.0,0.78,"[1.         0.90909091 1.         0.72727273 0.75       0.8
 0.72727273 0.8        0.54545455 0.55555556]","[1.         1.         0.69230769 0.88888889 0.9        0.44444444
 0.88888889 0.8        0.6        0.55555556]"
556,10.0,13.0,21.0,0.78,"[1.         0.83333333 1.         0.57142857 0.75       1.
 0.88888889 0.88888889 0.55555556 0.54545455]","[0.90909091 1.         0.69230769 0.88888889 0.9        0.55555556
 0.88888889 0.8        0.5        0.66666667]"
557,10.0,13.0,34.0,0.76,"[1.         0.83333333 1.         0.57142857 0.9        1.
 0.66666667 0.8        0.625      0.5       ]","[0.90909091 1.         0.61538462 0.88888889 0.9        0.44444444
 0.88888889 0.8        0.5        0.66666667]"
558,10.0,13.0,55.0,0.74,"[1.         0.76923077 1.         0.52941176 0.81818182 1.
 0.63636364 0.8        0.71428571 0.54545455]","[1.         1.         0.46153846 1.         0.9        0.33333333
 0.77777778 0.8        0.5        0.66666667]"
