,K,alpha,k,accuracy,precision,recall,n
343,5.0,20.0,8.0,0.38333333333333336,0.3433333333333333,0.375,300.0
344,5.0,20.0,9.0,0.43333333333333335,0.33135225885225883,0.4125,300.0
345,5.0,20.0,10.0,0.43333333333333335,0.3345238095238095,0.4125,300.0
346,5.0,20.0,11.0,0.4166666666666667,0.3451190476190476,0.3976190476190476,300.0
347,5.0,20.0,12.0,0.43333333333333335,0.35511904761904756,0.4142857142857143,300.0
348,5.0,20.0,13.0,0.45,0.36226190476190473,0.4267857142857143,300.0
349,5.0,20.0,14.0,0.45,0.45623015873015876,0.4375,300.0
350,5.0,20.0,15.0,0.43333333333333335,0.38202380952380954,0.42000000000000004,300.0
351,5.0,20.0,16.0,0.43333333333333335,0.33460317460317457,0.4166666666666667,300.0
352,5.0,20.0,17.0,0.45,0.39944444444444444,0.4416666666666667,300.0
353,5.0,20.0,18.0,0.45,0.3898809523809524,0.4416666666666667,300.0
354,5.0,20.0,19.0,0.45,0.3863095238095238,0.4416666666666667,300.0
355,5.0,20.0,20.0,0.45,0.38583333333333336,0.4416666666666667,300.0
356,5.0,20.0,21.0,0.4666666666666667,0.39952380952380956,0.45833333333333337,300.0
357,5.0,20.0,22.0,0.48333333333333334,0.5066666666666666,0.4783333333333334,300.0
358,5.0,20.0,23.0,0.45,0.3441666666666666,0.4333333333333334,300.0
359,5.0,20.0,24.0,0.45,0.3378571428571428,0.4291666666666667,300.0
360,5.0,20.0,1.0,0.6875,0.698452380952381,0.6932142857142857,400.0
361,5.0,20.0,2.0,0.65,0.6889285714285714,0.6532142857142856,400.0
362,5.0,20.0,3.0,0.7125,0.7383152958152959,0.7143253968253969,400.0
363,5.0,20.0,4.0,0.725,0.7306637806637807,0.7268253968253968,400.0
364,5.0,20.0,5.0,0.7125,0.7183927183927183,0.712936507936508,400.0
365,5.0,20.0,6.0,0.6875,0.697965367965368,0.6962698412698414,400.0
366,5.0,20.0,7.0,0.675,0.6774464424464425,0.6862698412698414,400.0
